"DateTime,""Players"",""Flags"",""Twitch Viewers"""
2018-02-01 00:00:00,636677,,90285
2018-02-02 00:00:00,677325,,74462
2018-02-03 00:00:00,691196,,115333
2018-02-04 00:00:00,680014,,135170
2018-02-05 00:00:00,598428,,108602
2018-02-06 00:00:00,596670,,66345
2018-02-07 00:00:00,605058,,59829
2018-02-08 00:00:00,591147,,125339
2018-02-09 00:00:00,640351,,160121
2018-02-10 00:00:00,660501,,144585
2018-02-11 00:00:00,643976,,178898
2018-02-12 00:00:00,597726,,153790
2018-02-13 00:00:00,600257,,94624
2018-02-14 00:00:00,573227,,102621
2018-02-15 00:00:00,587720,,88859
2018-02-16 00:00:00,672985,,35652
2018-02-17 00:00:00,686585,,203903
2018-02-18 00:00:00,676972,,305455
2018-02-19 00:00:00,627876,,264255
2018-02-20 00:00:00,606328,,259053
2018-02-21 00:00:00,616435,,171230
2018-02-22 00:00:00,626295,,66142
2018-02-23 00:00:00,640398,,237764
2018-02-24 00:00:00,671699,,292478
2018-02-25 00:00:00,644153,,371317
2018-02-26 00:00:00,582008,,49898
2018-02-27 00:00:00,578734,,253264
2018-02-28 00:00:00,585699,,224776
2018-03-01 00:00:00,571844,,270198
2018-03-02 00:00:00,638187,,335371
2018-03-03 00:00:00,674462,,261927
2018-03-04 00:00:00,631236,,504142
2018-03-05 00:00:00,566908,,50511
2018-03-06 00:00:00,571364,,62002
2018-03-07 00:00:00,609941,,74539
2018-03-08 00:00:00,579562,,64028
2018-03-09 00:00:00,622953,,45420
2018-03-10 00:00:00,660359,,37291
2018-03-11 00:00:00,624754,,54360
2018-03-12 00:00:00,549112,,54647
2018-03-13 00:00:00,548653,,71554
2018-03-14 00:00:00,540552,,73453
2018-03-15 00:00:00,540695,,70535
2018-03-16 00:00:00,612997,,51393
2018-03-17 00:00:00,634880,,62056
2018-03-18 00:00:00,612211,,66741
2018-03-19 00:00:00,529982,,49313
2018-03-20 00:00:00,528422,,61808
2018-03-21 00:00:00,527812,,83366
2018-03-22 00:00:00,523792,,58150
2018-03-23 00:00:00,567442,,87620
2018-03-24 00:00:00,593672,,54258
2018-03-25 00:00:00,583809,,248373
2018-03-26 00:00:00,535668,,68500
2018-03-27 00:00:00,524781,,41700
2018-03-28 00:00:00,553566,,44439
2018-03-29 00:00:00,545064,,103075
2018-03-30 00:00:00,589158,,111449
2018-03-31 00:00:00,544396,,81716
2018-04-01 00:00:00,522474,,40486
2018-04-02 00:00:00,510461,,70500
2018-04-03 00:00:00,481121,,81384
2018-04-04 00:00:00,493898,,94876
2018-04-05 00:00:00,478398,,84777
2018-04-06 00:00:00,515858,,48832
2018-04-07 00:00:00,523827,,80688
2018-04-08 00:00:00,502355,,111544
2018-04-09 00:00:00,442875,,39292
2018-04-10 00:00:00,441873,,65427
2018-04-11 00:00:00,442723,,91381
2018-04-12 00:00:00,449917,,64671
2018-04-13 00:00:00,486166,,38587
2018-04-14 00:00:00,501226,,46473
2018-04-15 00:00:00,485242,,50450
2018-04-16 00:00:00,446893,,42358
2018-04-17 00:00:00,437164,,43561
2018-04-18 00:00:00,427398,,166335
2018-04-19 00:00:00,421633,,166994
2018-04-20 00:00:00,461568,,142154
2018-04-21 00:00:00,487714,,224265
2018-04-22 00:00:00,492181,,334050
2018-04-23 00:00:00,443309,,44006
2018-04-24 00:00:00,428943,,49098
2018-04-25 00:00:00,431212,,77214
2018-04-26 00:00:00,429449,,71853
2018-04-27 00:00:00,444255,,46127
2018-04-28 00:00:00,465955,,31689
2018-04-29 00:00:00,473796,,33040
2018-04-30 00:00:00,455403,,40663
2018-05-01 00:00:00,435923,,133054
2018-05-02 00:00:00,401273,,96183
2018-05-03 00:00:00,406918,,84918
2018-05-04 00:00:00,436659,,132936
2018-05-05 00:00:00,454436,,142404
2018-05-06 00:00:00,443751,,225566
2018-05-07 00:00:00,400741,,46172
2018-05-08 00:00:00,416641,,37770
2018-05-09 00:00:00,374213,,54117
2018-05-10 00:00:00,386331,,33458
2018-05-11 00:00:00,422768,,89799
2018-05-12 00:00:00,435667,,57402
2018-05-13 00:00:00,423090,,72492
2018-05-14 00:00:00,386353,,41400
2018-05-15 00:00:00,381411,,84268
2018-05-16 00:00:00,386297,,93496
2018-05-17 00:00:00,378731,,119525
2018-05-18 00:00:00,410765,,94996
2018-05-19 00:00:00,424847,,118220
2018-05-20 00:00:00,416185,,104396
2018-05-21 00:00:00,397327,,66500
2018-05-22 00:00:00,386506,,55589
2018-05-23 00:00:00,382180,,101127
2018-05-24 00:00:00,387091,,78769
2018-05-25 00:00:00,406335,,52341
2018-05-26 00:00:00,404882,,44573
2018-05-27 00:00:00,420441,,34585
2018-05-28 00:00:00,411336,,122244
2018-05-29 00:00:00,403800,,143419
2018-05-30 00:00:00,391231,,176943
2018-05-31 00:00:00,414384,,170879
2018-06-01 00:00:00,401912,,112689
2018-06-02 00:00:00,398415,,266939
2018-06-03 00:00:00,422310,,279672
2018-06-04 00:00:00,400075,,41289
2018-06-05 00:00:00,401950,,61535
2018-06-06 00:00:00,401474,,53864
2018-06-07 00:00:00,395399,,48222
2018-06-08 00:00:00,385574,,32978
2018-06-09 00:00:00,406915,,33769
2018-06-10 00:00:00,401825,,86851
2018-06-11 00:00:00,406801,,48954
2018-06-12 00:00:00,396623,,36779
2018-06-13 00:00:00,407797,,77626
2018-06-14 00:00:00,396812,,91845
2018-06-15 00:00:00,355709,,60090
2018-06-16 00:00:00,375844,,73056
2018-06-17 00:00:00,396111,,73643
2018-06-18 00:00:00,391787,,130574
2018-06-19 00:00:00,389800,,31787
2018-06-20 00:00:00,404184,,39908
2018-06-21 00:00:00,380788,,36570
2018-06-22 00:00:00,388254,,36448
2018-06-23 00:00:00,385005,,42147
2018-06-24 00:00:00,403726,,39607
2018-06-25 00:00:00,389087,,42433
2018-06-26 00:00:00,381327,,56279
2018-06-27 00:00:00,377047,,73125
2018-06-28 00:00:00,378351,,39709
2018-06-29 00:00:00,379774,,49224
2018-06-30 00:00:00,371997,,54723
2018-07-01 00:00:00,396799,,56996
2018-07-02 00:00:00,389880,,40565
2018-07-03 00:00:00,365647,,96238
2018-07-04 00:00:00,399953,,87214
2018-07-05 00:00:00,393703,,113987
2018-07-06 00:00:00,372084,,91636
2018-07-07 00:00:00,370039,,167621
2018-07-08 00:00:00,420674,,201412
2018-07-09 00:00:00,429650,,50563
2018-07-10 00:00:00,378806,,56989
2018-07-11 00:00:00,381982,,45872
2018-07-12 00:00:00,403220,,72516
2018-07-13 00:00:00,386670,,94072
2018-07-14 00:00:00,386930,,93962
2018-07-15 00:00:00,421859,,37166
2018-07-16 00:00:00,410965,,41412
2018-07-17 00:00:00,410387,,39276
2018-07-18 00:00:00,412253,,41520
2018-07-19 00:00:00,393113,,62479
2018-07-20 00:00:00,379547,,71086
2018-07-21 00:00:00,369377,,169068
2018-07-22 00:00:00,402249,,179028
2018-07-23 00:00:00,405865,,186017
2018-07-24 00:00:00,395213,,237413
2018-07-25 00:00:00,388536,,203038
2018-07-26 00:00:00,386955,,116328
2018-07-27 00:00:00,366820,,45224
2018-07-28 00:00:00,370155,,199325
2018-07-29 00:00:00,398283,,231306
2018-07-30 00:00:00,404885,,42246
2018-07-31 00:00:00,390725,,42962
2018-08-01 00:00:00,384368,,65273
2018-08-02 00:00:00,378118,,56603
2018-08-03 00:00:00,404780,,36292
2018-08-04 00:00:00,403304,,85523
2018-08-05 00:00:00,426277,,81873
2018-08-06 00:00:00,418671,,54988
2018-08-07 00:00:00,399534,,38474
2018-08-08 00:00:00,414487,,35651
2018-08-09 00:00:00,400059,,35797
2018-08-10 00:00:00,382492,,30272
2018-08-11 00:00:00,391139,,36808
2018-08-12 00:00:00,415889,,33140
2018-08-13 00:00:00,406483,,38200
2018-08-14 00:00:00,387909,,38391
2018-08-15 00:00:00,392190,,35309
2018-08-16 00:00:00,403366,,45656
2018-08-17 00:00:00,392254,,34809
2018-08-18 00:00:00,402196,,40573
2018-08-19 00:00:00,428710,,45866
2018-08-20 00:00:00,402305,,37014
2018-08-21 00:00:00,391082,,37840
2018-08-22 00:00:00,391082,,35772
2018-08-23 00:00:00,386361,,50368
2018-08-24 00:00:00,386639,,99221
2018-08-25 00:00:00,408895,,123370
2018-08-26 00:00:00,456907,,74695
2018-08-27 00:00:00,427268,,40579
2018-08-28 00:00:00,425595,,47890
2018-08-29 00:00:00,423666,,155169
2018-08-30 00:00:00,420600,,187322
2018-08-31 00:00:00,429373,,159257
2018-09-01 00:00:00,451304,,230112
2018-09-02 00:00:00,454425,,254916
2018-09-03 00:00:00,458145,,60135
2018-09-04 00:00:00,420799,,46913
2018-09-05 00:00:00,433306,,419195
2018-09-06 00:00:00,430506,,344711
2018-09-07 00:00:00,473064,,370419
2018-09-08 00:00:00,510248,,371489
2018-09-09 00:00:00,523315,,391163
2018-09-10 00:00:00,494317,,55929
2018-09-11 00:00:00,488980,,38379
2018-09-12 00:00:00,473249,,485685
2018-09-13 00:00:00,488112,,410552
2018-09-14 00:00:00,520394,,462872
2018-09-15 00:00:00,549895,,501919
2018-09-16 00:00:00,554058,,544528
2018-09-17 00:00:00,499820,,55800
2018-09-18 00:00:00,482772,,61867
2018-09-19 00:00:00,476273,,73119
2018-09-20 00:00:00,477057,,551099
2018-09-21 00:00:00,529496,,534414
2018-09-22 00:00:00,587639,,677146
2018-09-23 00:00:00,584417,,826803
2018-09-24 00:00:00,520926,,76203
2018-09-25 00:00:00,535791,,70447
2018-09-26 00:00:00,526703,,119143
2018-09-27 00:00:00,497875,,73742
2018-09-28 00:00:00,525647,,197366
2018-09-29 00:00:00,545234,,259053
2018-09-30 00:00:00,573410,,82848
2018-10-01 00:00:00,520380,,65418
2018-10-02 00:00:00,513422,,66103
2018-10-03 00:00:00,512932,,77662
2018-10-04 00:00:00,509096,,75294
2018-10-05 00:00:00,544025,,70608
2018-10-06 00:00:00,567916,,59495
2018-10-07 00:00:00,544391,,82961
2018-10-08 00:00:00,510312,,87080
2018-10-09 00:00:00,499103,,95748
2018-10-10 00:00:00,489270,,112599
2018-10-11 00:00:00,489305,,55201
2018-10-12 00:00:00,529774,,71352
2018-10-13 00:00:00,531049,,88245
2018-10-14 00:00:00,521403,,93750
2018-10-15 00:00:00,482625,,70353
2018-10-16 00:00:00,466907,,75320
2018-10-17 00:00:00,475983,,74045
2018-10-18 00:00:00,475672,,82416
2018-10-19 00:00:00,513368,,90173
2018-10-20 00:00:00,535314,,85755
2018-10-21 00:00:00,519435,,91092
2018-10-22 00:00:00,465645,,89832
2018-10-23 00:00:00,466671,,100503
2018-10-24 00:00:00,482083,,79335
2018-10-25 00:00:00,492784,,120070
2018-10-26 00:00:00,525136,,48595
2018-10-27 00:00:00,544244,,107990
2018-10-28 00:00:00,543919,,219565
2018-10-29 00:00:00,475117,,48598
2018-10-30 00:00:00,460838,,67440
2018-10-31 00:00:00,439593,,61326
2018-11-01 00:00:00,473842,,78662
2018-11-02 00:00:00,485776,,210363
2018-11-03 00:00:00,506248,,217235
2018-11-04 00:00:00,524056,,83085
2018-11-05 00:00:00,446011,,54895
2018-11-06 00:00:00,432726,,137061
2018-11-07 00:00:00,428192,,149014
2018-11-08 00:00:00,429044,,135797
2018-11-09 00:00:00,478359,,121445
2018-11-10 00:00:00,516365,,248318
2018-11-11 00:00:00,492961,,298348
2018-11-12 00:00:00,454763,,52070
2018-11-13 00:00:00,471698,,82528
2018-11-14 00:00:00,474959,,88660
2018-11-15 00:00:00,480043,,54884
2018-11-16 00:00:00,516851,,75786
2018-11-17 00:00:00,546192,,69724
2018-11-18 00:00:00,543916,,125892
2018-11-19 00:00:00,488906,,101720
2018-11-20 00:00:00,478568,,52381
2018-11-21 00:00:00,456412,,45944
2018-11-22 00:00:00,461948,,102953
2018-11-23 00:00:00,496143,,50031
2018-11-24 00:00:00,529379,,47212
2018-11-25 00:00:00,514340,,69464
2018-11-26 00:00:00,457745,,43100
2018-11-27 00:00:00,463123,,74591
2018-11-28 00:00:00,458216,,86583
2018-11-29 00:00:00,458409,,121454
2018-11-30 00:00:00,504854,,92116
