DateTime,Players
8/31/2019 0:00,139650
9/1/2019 0:00,136587
9/2/2019 0:00,123759
9/3/2019 0:00,118028
9/4/2019 0:00,116319
9/5/2019 0:00,108690
9/6/2019 0:00,122856
9/7/2019 0:00,137589
9/8/2019 0:00,127276
9/9/2019 0:00,99743
9/10/2019 0:00,101844
9/11/2019 0:00,107614
9/12/2019 0:00,135754
9/13/2019 0:00,131161
9/14/2019 0:00,148620
9/15/2019 0:00,141987
9/16/2019 0:00,102430
9/17/2019 0:00,109000
9/18/2019 0:00,106693
9/19/2019 0:00,103357
9/20/2019 0:00,131803
9/21/2019 0:00,142341
9/22/2019 0:00,130571
9/23/2019 0:00,98819
9/24/2019 0:00,102654
